genus,species_epithet,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,ca1,ca5,ca6,ca7,ca8,ca9,ca14
Polycolpites,granulatus,6,?,0,0,0,1,2,?,?,?,0,?,1,?,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,1,?,?,?
Rousea,delicipollis,4,2,0,0,0,1,1,?,?,?,1,0,1,1,5,6,?,1,0,0,?,?,0,?,?,?,?,?,?,1,0,1,0,?,?,1
Rousea,doylei,4,2,1,0,0,1,1,0,1,?,2,0,1,1,5,6,0,1,1,?,?,?,1,?,?,?,?,?,?,1,0,1,0,1,0,1
Rousea,duplibaculata,4,2,0,0,0,1,1,0,1,?,1,1,1,1,5,6,1,1,1,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,1
Rousea,georgensis,4,2,0,0,0,1,1,0,1,?,1,0,1,1,1,6,0,1,1,0,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,1
Rousea,iconica,4,2,0,0,1,1,1,0,0,?,0,0,1,1,5,6,?,1,0,0,?,?,?,?,?,?,?,?,?,1,1,1,0,1,1,1
Rousea,marthae,4,2,0,0,0,1,1,0,1,?,1,0,1,1,5,6,2,1,2,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,1
Rousea,miculipollis,4,2,0,0,0,2,1,0,1,?,1,0,1,1,5,6,?,1,2,0,?,?,0,?,?,?,?,?,?,1,0,2,0,1,0,1
Rousea,prosimilis,4,2,0,0,0,?,0,0,1,?,0,?,1,1,1,6,?,?,2,0,?,?,0,?,?,?,?,?,?,1,0,?,1,1,0,1
Rousea,regia,4,2,1,0,0,1,1,1,?,?,2,0,1,1,5,6,0,1,2,?,?,?,1,?,?,?,?,?,?,1,0,1,0,0,?,1
Rousea,retiformis,4,0,0,0,0,1,0,?,1,?,1,0,1,1,5,6,?,1,2,?,?,?,0,?,?,?,?,?,?,1,0,1,1,?,0,1
Rousea,scitula,4,2,0,0,0,1,1,0,1,?,1,0,1,1,5,6,?,1,2,?,?,?,1,?,?,?,?,?,?,1,0,1,0,1,0,1
Santalacites,minor,9,0,0,0,0,2,0,?,?,?,0,?,1,1,2,0,?,?,?,?,?,?,0,0,0,1,0,0,0,4,0,2,1,?,?,1
Satishia,candida,4,2,0,0,0,1,1,0,1,?,0,0,1,1,2,6,?,?,2,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,1
Satishia,compacta,4,2,0,0,0,1,1,0,1,?,?,?,1,1,2,6,?,1,2,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,1
