genus,species_epithet,taxon_authorship,morphology_sources,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,notes
Senipites,drumhellerensis,Srivastava 1969,Srivastava 1969b,5,2,0,0,0,2,1,2,?,–,?,0,1,0,–,6,?,1,0,0,–,–,0,1,–,–,–,–,–,"pores described as ""vestibulate, with atrium"""
Striatellipollis,radiata,Sweet 1986,Sweet 1986,4,0,0,0,0,2,1,3,1,–,0,?,1,1,2,5,?,?,?,0,–,–,2,?,–,–,–,–,–,tricol(por?)ate; rhombic to aquiloid (c10 may or may not apply)
Striatellipollis,striatellus,(Mchedlishvili in Samoilovich & Mchedlishvili 1961) Krutzsch 1969,Jansonius & Hills 1976,C,–,?,0,0,2,2,?,?,–,1,0,1,1,?,5,?,?,?,0,–,–,?,?,–,–,–,–,–,special sculpture pattern
Striatopollis,tectatus,Leffingwell 1970,Lupia 1999,4,2,0,0,0,?,1,0,1,–,1,?,1,0,–,6,?,1,?,1,6,–,0,?,–,–,–,–,–,
Styxpollenites,calamitas,Nichols 2002,Nichols 2002,5,0,0,0,0,2,2,2,?,–,4,0,1,0,–,5,?,?,?,0,–,–,0,1,–,–,–,–,–,
Syncolporites,minimus,Leffingwell 1970,Leffingwell 1970,C,–,0,0,0,2,1,2,?,–,0,?,1,0,–,0,?,?,?,?,?,–,0,?,–,–,–,–,–,
Thomsonipollis,magnificus,(Pflug & Thomson in Thomson & Pflug 1953) Krutzsch 1960,Lupia 1999,9,0,0,0,0,1,1,?,?,–,1,?,1,0,–,4,?,?,–,?,?,–,?,1,0,0,0,0,0,
Triatriopollenites,granulatus,(Simpson 1961) Leffingwell 1970,Simpson 1961,9,0,0,1,0,1,0,2,?,–,1,0,1,1,?,0,?,?,?,?,?,–,1,?,?,?,?,?,?,"thinnings, here interpreted as pseudopores, more coarsely scabrate"
Triatriopollenites,subtriangulus,(Stanley 1965) Frederiksen 1979,Stanley 1965,9,0,0,0,0,2,1,2,?,–,0,?,1,?,?,0,?,?,–,0,–,–,0,0,0,0,0,0,0,
Tricolpites,cellatus,"Norton in Norton & Hall, 1967","Norton & Hall, 1967",4,0,0,0,0,1,2,2,?,–,1,?,1,0,–,6,?,1,?,0,–,–,0,?,–,–,–,–,–,
Tricolpites,hians,Stanley 1965,Lupia 1999,4,2,0,0,0,3,1,0,1,–,1,1,1,0,–,6,0,1,0,?,?,–,0,?,–,–,–,–,–,
Tricolpites,microreticulatus,Belsky et al. 1965,Belsky et al. 1965,4,2,0,0,0,3,1,2,1,–,?,?,1,0,–,0,?,?,?,0,–,–,0,?,–,–,–,–,–,
Tricolpites,parvistriatus,Norton 1967,Lupia 1999,4,2,0,0,0,1,1,?,?,–,1,?,1,?,?,5,?,?,–,?,?,–,0,?,–,–,–,–,–,
Tricolpites,vulgaris,(Pierce 1961) Srivastava 1969,Lupia 1999,4,2,0,0,0,1,1,0,1,–,1,0,1,0,–,6,0,1,1,?,?,–,0,?,–,–,–,–,–,
